# ID  X  Y  MAG_F336W  MAG_F555W  FLUX_F336W  FLUX_F555W
  272     81.60    147.59    19.255    18.617      198.61      357.58
  273    202.00    148.03    20.183    19.249       84.45      199.76
  274    349.37    147.09    20.803    20.328       47.75       73.92
  275    176.94    148.30    19.913    18.939      108.37      265.60
  276    567.64    149.07    19.066    18.145      236.41      552.01
  277    437.55    149.12    18.575    17.659      371.45      863.69
  278    720.60    148.86    19.036    18.026      243.03      615.85
  279    748.83    149.40    20.265    19.161       78.35      216.62
  280    113.16    150.54    19.716    18.956      129.85      261.67
  281    282.19    150.92    18.396    16.873      437.94     1782.10
  282    410.53    150.61    19.563    18.365      149.60      450.73
  283    451.43    150.55    20.232    19.351       80.79      181.81
  284    683.43    150.32    20.889    20.470       44.11       64.87
  285    740.31    150.37    19.868    18.853      112.96      287.49
  286    236.55    151.28    21.070    20.124       37.33       89.18
  287    299.37    154.92    20.704    20.439       52.27       66.77
  288    516.31    151.81    20.151    19.374       87.02      177.92
  289    762.74    151.37    19.714    18.704      130.16      329.96
  290    790.95    151.85    17.275    15.415     1230.62     6823.89
  291    575.92    152.72    20.002    18.923       99.84      269.72
  292    584.82    152.62    17.730    16.037      808.81     3847.21
  293    593.03    152.68    16.947    15.607     1663.50     5719.76
  294    636.35    152.40    20.293    19.118       76.32      225.24
  295    145.93    153.48    19.580    18.620      147.30      356.58
  296    153.48    153.89    20.447    19.404       66.24      173.15
  297    617.29    153.39    16.912    15.577     1719.28     5879.59
  298     86.23    154.23    20.189    19.042       84.01      241.61
  299    299.37    154.92    20.704    20.439       52.27       66.77
  300    324.70    154.64    20.740    19.628       50.56      140.81
  301    395.66    154.57    20.894    20.355       43.91       72.14
  302    432.94    154.31    18.327    16.781      466.92     1939.47
  303    708.87    154.67    20.133    18.998       88.51      251.71
  304    646.44    155.63    19.678    18.817      134.54      297.21
  305    167.42    156.85    19.764    18.896      124.29      276.37
  306    273.51    156.48    21.987    20.883       16.03       44.35
  307    449.87    156.59    18.706    17.715      329.42      820.45
  308    691.82    156.70    22.439    20.217       10.58       81.87
  309    708.95    154.67    20.128    18.998       88.86      251.71
  310    339.54    157.90    22.894    20.340        6.96       73.11
  311    415.36    157.37    20.032    19.514       97.12      156.47
  312    525.57    157.74    19.936    18.989      106.08      253.76
  313    771.72    157.98    19.556    18.551      150.47      379.67
  314    534.11    158.84    20.282    19.205       77.12      208.00
  315    664.90    158.67    21.970    21.010       16.29       39.44
  316    247.55    159.71    20.699    20.064       52.51       94.26
  317    559.60    159.10    21.095    19.935       36.46      106.16
  318    614.22    159.09    18.897    17.754      276.22      791.50
  319    671.87    159.54    19.873    18.855      112.42      287.14
  320     45.00    160.92    18.229    16.743      510.84     2008.91
  321    713.65    160.73    22.197    19.964       13.21      103.34
  322    749.40    160.49    19.492    18.387      159.64      441.86
  323    432.62    161.93    19.414    18.345      171.61      459.15
  324    502.73    161.71    18.895    18.039      276.67      608.58
  325    588.45    165.76    18.843    17.693      290.34      837.16
  326    224.09    162.31    20.036    18.978       96.75      256.41
  327    409.46    162.43    19.644    18.831      138.75      293.37
  328    642.37    162.80    19.612    18.877      142.96      281.45
  329    654.58    162.48    19.521    18.529      155.44      387.51
  330    776.85    162.96    20.473    19.778       64.71      122.66
  331    792.09    162.95    18.602    17.813      362.57      749.66
  332    186.28    163.68    19.802    19.468      120.02      163.26
  333    272.06    163.30    19.692    18.677      132.79      338.08
  334    765.09    163.59    19.618    18.518      142.20      391.57
  335    283.49    164.95    20.471    19.356       64.79      180.90
  336    266.30    165.78    19.382    18.348      176.60      458.02
  337    364.76    165.24    19.354    17.950      181.38      660.80
  338    396.07    165.19    17.424    15.471     1072.46     6477.61
  339    588.45    165.46    18.943    17.693      264.80      837.16
  340     85.24    166.35    19.601    18.520      144.42      390.86
  341    314.31    167.07    19.906    18.922      109.09      269.83
  342    415.05    166.28    20.240    19.527       80.18      154.63
  343    428.79    166.96    19.561    18.590      149.85      366.30
  344    547.10    166.74    21.363    19.823       28.49      117.69
  345    596.90    166.82    19.379    18.556      177.15      378.22
  346    630.78    166.71    18.766    17.593      311.74      917.69
  347    331.40    167.16    20.140    19.092       87.86      230.76
  348    522.36    167.85    20.273    19.391       77.78      175.30
  349    559.00    167.57    20.116    19.294       89.88      191.67
  350    569.28    167.79    19.198    18.252      209.28      500.33
  351     60.93    169.65    20.237    20.126       80.38       89.02
  352    140.86    169.31    20.019    19.135       98.23      221.74
  353    682.48    170.08    17.145    15.227     1387.17     8116.83
  354    705.14    169.44    24.581    20.710        1.47       52.01
  355    741.64    169.96    21.745    20.457       20.05       65.65
  356    764.44    170.00    21.528    19.867       24.47      113.06
  357    656.33    170.73    19.989    18.885      100.99      279.34
  358    751.46    170.24    20.610    19.440       57.02      167.52
  359    401.81    172.09    22.183    19.669       13.39      135.70
  360    477.96    171.71    19.625    18.656      141.24      344.95
  361    624.57    171.80    19.324    18.442      186.37      419.85
  362    171.01    172.32    20.315    19.135       74.82      221.91
  363    206.02    172.59    21.612    19.819       22.67      118.10
  364    267.32    172.85    20.151    19.212       86.99      206.62
  365    352.09    173.56    20.674    19.324       53.76      186.42
  366    361.02    173.56    19.545    18.179      152.10      535.08
  367    422.03    173.59    21.778    21.185       19.45       33.58
  368    584.79    173.31    19.231    17.830      203.02      737.81
  369    644.02    173.69    20.666    19.526       54.16      154.79
  370    777.09    173.82    21.914    20.071       17.15       93.63
  371    500.28    174.32    19.247    18.260      200.10      496.67
  372    160.29    176.04    16.876    15.604     1776.88     5735.64
  373    224.76    175.98    21.012    19.735       39.38      127.63
  374    279.85    175.74    19.714    18.759      130.15      313.69
  375     50.24    176.81    18.870    17.630      283.10      887.37
  376     87.98    176.81    21.693    19.965       21.02      103.25
  377    329.45    176.54    18.595    17.003      364.73     1580.15
  378    131.75    177.22    20.210    19.074       82.44      234.67
  379    689.11    177.25    21.070    19.741       37.32      126.93
  380    700.21    177.58    21.425    20.341       26.91       73.04
  381    235.74    178.42    20.675    19.629       53.72      140.77
  382    321.14    178.54    21.654    19.724       21.80      128.93
  383    346.54    179.01    20.485    19.422       63.98      170.35
