# ID  X  Y  MAGNITUDE  FLUX
  262    661.15    111.91    21.050       38.01
  263    682.16    112.40    19.475      162.19
  264     86.15    112.93    20.340       73.15
  265     42.44    114.34    17.095     1452.35
  266    169.90    115.27    19.014      248.07
  267    399.62    115.19    20.051       95.37
  268    481.49    114.97    19.802      120.01
  269    583.85    114.76    19.661      136.66
  270    700.05    114.62    20.368       71.26
  271    769.96    114.71    19.341      183.43
  272    792.91    115.11    19.825      117.52
  273    258.49    115.96    21.615       22.59
  274    425.62    115.70    19.042      241.56
  276    115.34    117.17    19.166      215.65
  277    161.61    117.34    19.554      150.83
  278    221.84    116.71    22.481       10.17
  279    444.40    117.06    20.263       78.46
  280    750.07    117.34    19.405      173.05
  281    408.50    118.25    19.806      119.58
  282    714.13    118.26    17.728      810.57
  283    765.09    122.26    20.065       94.22
  284     83.05    118.60    19.791      121.28
  285    292.06    118.86    20.589       58.15
  286    430.09    118.87    18.974      257.36
  287    475.77    119.40    18.913      272.13
  288    661.13    118.59    23.143        5.53
  289    724.04    119.12    19.889      110.78
  290    315.74    120.30    21.789       19.25
  291    392.33    120.33    20.210       82.42
  292    589.56    120.00    22.266       12.40
  293    774.36    119.85    19.725      128.78
  294    341.66    121.03    20.732       50.95
  295    546.49    121.09    20.178       84.87
  296    578.95    120.63    19.771      123.46
  297    611.14    121.00    20.081       92.79
  298    701.99    120.62    22.362       11.35
  299    336.05    121.92    21.297       30.28
  300    539.85    121.98    19.389      175.56
  301    795.27    121.89    19.305      189.63
  302    364.61    123.35    20.682       53.36
  303    369.76    122.84    21.135       35.15
  304    534.33    123.04    21.933       16.86
  305    562.80    123.23    19.893      110.34
  306    616.04    122.92    19.268      196.25
  307    668.49    122.41    19.710      130.66
  308    681.72    123.24    19.673      135.13
  309    694.96    122.85    20.192       83.78
  310    431.58    123.75    19.474      162.38
  311    726.79    123.81    20.233       80.70
  312    114.09    124.81    19.957      104.08
  313    446.94    125.16    19.625      141.32
  314    238.71    125.53    21.436       26.64
  315    503.27    125.62    21.059       37.72
  316    600.50    126.24    19.306      189.54
  317     54.75    126.82    20.044       96.02
  318    386.33    127.20    19.574      148.06
  319    475.06    127.10    18.635      351.71
  320    753.12    126.50    20.158       86.45
  321    190.60    128.72    20.415       68.24
  322    176.78    129.63    20.032       97.10
  323    314.12    130.18    21.301       30.18
  324    456.66    129.95    18.942      264.91
  325    339.06    131.44    20.950       41.70
  326    346.90    130.68    21.974       16.23
  327    537.56    130.61    20.136       88.21
  328    656.00    130.71    20.646       55.17
  329    122.31    131.95    22.309       11.92
  330    231.81    132.44    23.025        6.17
  331    285.98    131.75    19.744      126.54
  332    609.47    132.32    24.278        1.94
  333    619.60    132.18    20.518       62.06
  334    633.51    131.96    20.669       53.99
  335     83.74    132.72    20.310       75.15
  336    132.07    132.54    19.593      145.46
  337    261.03    133.11    19.169      215.06
  338    330.75    132.69    21.057       37.79
  339    728.55    132.84    19.488      160.25
  340    217.39    134.92    19.257      198.23
  341    555.21    133.55    21.444       26.45
  342    592.07    133.77    19.496      159.07
  343    672.23    133.80    20.793       48.15
  344    252.49    134.65    19.760      124.69
  345    326.02    134.94    20.208       82.54
  346    522.64    134.48    16.878     1773.26
  347    217.19    134.88    19.257      198.31
  348    402.73    136.18    19.651      137.93
  349    474.67    135.79    20.279       77.35
  350    498.83    135.56    17.226     1287.10
  351    562.74    135.86    19.577      147.69
  352    156.28    137.12    21.129       35.36
  353    372.96    136.70    19.940      105.72
  354    448.32    136.76    20.493       63.48
  355    598.54    136.86    18.930      267.94
  356    262.53    137.87    19.193      210.23
  357    513.22    138.42    20.148       87.29
  358    683.97    142.00    19.185      211.88
  359    702.19    138.42    20.655       54.71
  360     99.27    138.87    20.449       66.15
  361    147.70    140.17    19.692      132.82
  362    212.77    139.54    20.654       54.74
